City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
219,Maceio,BR,2022-01-23 23:00:17,-9.6658,-35.7353,80.04,78,20,6.91
220,Dikson,RU,2022-01-23 23:02:53,73.5069,80.5464,-8.57,100,100,18.84
221,Petropavlovsk-Kamchatskiy,RU,2022-01-23 23:02:54,53.0452,158.6483,0.19,71,0,8.95
222,San Ignacio,BZ,2022-01-23 23:02:54,17.1561,-89.0714,77.14,88,40,0.0
223,Okha,RU,2022-01-23 23:02:54,53.5739,142.9478,-5.12,94,21,12.35
224,Liberal,US,2022-01-23 22:57:55,37.0431,-100.921,59.14,32,3,5.61
225,Yar-Sale,RU,2022-01-23 23:02:54,66.8333,70.8333,4.35,94,59,11.5
226,Ellisras,ZA,2022-01-23 23:02:55,-23.6649,27.7443,64.65,60,13,5.5
227,Ulladulla,AU,2022-01-23 23:02:55,-35.35,150.4667,76.87,64,97,2.06
228,Bainbridge,US,2022-01-23 23:00:40,47.6262,-122.5212,44.89,65,65,3.24
229,Ahipara,NZ,2022-01-23 23:03:55,-35.1667,173.1667,70.21,77,100,11.65
230,Safaga,EG,2022-01-23 23:03:56,26.7292,33.9365,59.02,41,0,8.34
231,Thinadhoo,MV,2022-01-23 23:03:56,0.5333,72.9333,81.39,70,51,13.24
232,Karatsu,JP,2022-01-23 23:03:56,33.4425,129.9697,49.89,65,100,7.0
233,Kaeo,NZ,2022-01-23 23:03:56,-35.1,173.7833,71.33,87,100,11.21
234,Praia Da Vitoria,PT,2022-01-23 23:03:57,38.7333,-27.0667,55.76,85,52,5.99
235,Nouadhibou,MR,2022-01-23 23:03:57,20.931,-17.0347,67.71,72,100,16.91
236,Kedrovyy,RU,2022-01-23 23:03:57,56.1667,91.8167,-3.14,100,97,2.55
237,Namibe,AO,2022-01-23 23:03:57,-15.1961,12.1522,74.84,86,92,6.98
238,Swellendam,ZA,2022-01-23 23:03:58,-34.0226,20.4417,82.11,51,86,4.7
239,Ofeherto,HU,2022-01-23 23:03:58,47.9333,22.05,26.22,74,0,11.61
240,Dasoguz,TM,2022-01-23 23:03:58,41.8363,59.9666,12.31,87,5,8.08
241,Viedma,AR,2022-01-23 23:00:30,-40.8135,-62.9967,82.53,25,1,18.88
242,Baykit,RU,2022-01-23 23:03:59,61.67,96.37,-6.52,100,97,0.74
243,Rongcheng,CN,2022-01-23 23:03:59,30.634,117.8517,42.24,95,100,5.61
244,Rehoboth,NA,2022-01-23 23:03:59,-23.3167,17.0833,72.54,38,30,14.43
245,Faanui,PF,2022-01-23 23:03:59,-16.4833,-151.75,81.25,70,71,15.1
246,Barberton,ZA,2022-01-23 23:04:00,-25.7884,31.0532,63.93,93,26,3.06
247,Kamuli,UG,2022-01-23 23:04:00,0.9472,33.1197,67.15,75,100,1.74
248,Lukovetskiy,RU,2022-01-23 23:04:00,64.2956,41.9211,17.58,93,100,9.53
249,Portage,US,2022-01-23 23:04:00,41.1667,-81.1998,24.66,74,100,6.91
250,Tura,IN,2022-01-23 23:04:01,25.5198,90.2201,57.61,67,47,3.22
251,Celendin,PE,2022-01-23 23:04:01,-6.8703,-78.1517,61.32,74,68,5.1
252,Eyl,SO,2022-01-23 23:04:01,7.9803,49.8164,72.9,73,77,14.7
253,Magadan,RU,2022-01-23 23:04:02,59.5667,150.8,-10.3,80,52,8.95
254,Puksoozero,RU,2022-01-23 23:04:02,62.5903,40.6066,15.51,93,100,11.21
255,Gdov,RU,2022-01-23 23:04:02,58.7406,27.8122,27.41,95,100,12.12
256,Svetlaya,RU,2022-01-23 23:04:03,46.5389,138.3297,4.87,77,1,8.3
257,Kruisfontein,ZA,2022-01-23 23:04:03,-34.0033,24.7314,75.25,33,0,8.48
258,Ancud,CL,2022-01-23 23:04:03,-41.8697,-73.8203,61.43,85,83,9.46
259,Inuvik,CA,2022-01-23 23:04:03,68.3499,-133.7218,1.51,98,95,4.65
260,Narsaq,GL,2022-01-23 23:04:04,60.9167,-46.05,23.22,70,100,10.67
261,Zundert,NL,2022-01-23 23:04:04,51.4735,4.6418,42.64,92,5,4.88
262,Merauke,ID,2022-01-23 23:04:04,-8.4667,140.3333,81.23,82,99,8.86
263,Brae,GB,2022-01-23 23:03:10,60.3964,-1.353,48.11,87,100,34.74
264,Gorgan,IR,2022-01-23 23:04:05,36.8387,54.4348,47.01,39,0,5.01
265,Helong,CN,2022-01-23 23:04:05,42.5397,128.9972,6.39,81,10,4.21
266,Russell,US,2022-01-23 23:04:05,32.3502,-85.1999,47.91,45,0,3.44
267,Iranshahr,IR,2022-01-23 23:04:05,27.2025,60.6848,48.36,33,0,0.69
268,Manzhouli,CN,2022-01-23 23:04:06,49.6,117.4333,-3.21,99,100,1.63
269,Santa Rosa,PH,2022-01-23 23:04:06,14.3122,121.1114,77.11,86,76,3.27
270,Pinega,RU,2022-01-23 23:04:06,64.7001,43.3936,14.63,92,100,10.22
271,Hobyo,SO,2022-01-23 23:04:06,5.3505,48.5268,76.91,69,94,17.85
272,Coihaique,CL,2022-01-23 23:04:07,-45.5752,-72.0662,57.15,58,75,9.22
273,Tasiilaq,GL,2022-01-23 23:04:07,65.6145,-37.6368,15.96,51,55,11.21
274,Coahuayana,MX,2022-01-23 23:05:07,18.7333,-103.6833,85.48,46,76,6.06
275,Aasiaat,GL,2022-01-23 23:05:08,68.7098,-52.8699,5.05,88,100,11.61
276,Gopalpur,IN,2022-01-23 23:05:08,19.2667,84.9167,70.29,79,16,6.89
277,Kahului,US,2022-01-23 23:00:52,20.8947,-156.47,81.97,78,3,13.0
278,Dingle,PH,2022-01-23 23:05:08,10.9995,122.6711,75.11,92,90,7.05
279,Tiarei,PF,2022-01-23 23:05:09,-17.5333,-149.3333,86.02,78,73,12.64
280,Arraial Do Cabo,BR,2022-01-23 23:05:09,-22.9661,-42.0278,76.37,84,12,21.61
281,Dudinka,RU,2022-01-23 23:05:09,69.4058,86.1778,-16.29,100,100,5.82
282,Chardara,KZ,2022-01-23 23:05:10,41.2547,67.9692,33.13,73,1,7.16
283,Shuyskoye,RU,2022-01-23 23:05:10,59.3736,41.0305,2.44,99,93,4.76
284,Port Hardy,CA,2022-01-23 23:05:10,50.6996,-127.4199,45.61,73,100,4.83
285,Suleja,NG,2022-01-23 23:05:10,9.1758,7.1808,78.87,18,2,8.14
286,Port Lincoln,AU,2022-01-23 23:05:11,-34.7333,135.8667,69.62,92,77,8.05
287,Isangel,VU,2022-01-23 23:05:11,-19.55,169.2667,85.89,69,21,2.89
288,Komsomolskiy,UZ,2022-01-23 23:05:11,40.4272,71.7189,35.02,86,75,2.3
289,Los Llanos De Aridane,ES,2022-01-23 23:05:11,28.6585,-17.9182,62.35,91,0,5.01
290,Padang,ID,2022-01-23 23:05:12,-0.9492,100.3543,76.23,85,91,3.56
291,Pizhma,RU,2022-01-23 23:05:12,57.8642,47.1171,1.49,100,99,2.95
